题干,选项1,选项2,选项3,选项4,答案
中国共产党第十九届中央委员会第五次全体会议，于2020年（___）在北京举行。,10月26日至30日,10月25日至29日,10月26日至29日,10月25日至30日,C
“十三五”时期，（___）农村贫困人口实现脱贫。,五千六百七十五万,五千五百七十五万,六千六百七十五万,六千五百七十五万,B
预计二〇二〇年我国国内生产总值突破（___）元。,八十万亿,九十万亿,一百万亿,二百万亿,C
“十三五”时期，我国建成世界上规模最大的社会保障体系，基本医疗保险覆盖超过（___）人，基本养老保险覆盖近（___）人。,十亿，五亿,十亿，八亿,十三亿，八亿,十三亿，十亿,D
“十三五”时期，我国粮食年产量连续（___）年稳定在一万三千亿斤以上。,3,4,5,6,C
当今世界正经历百年未有之大变局，新一轮（___）深入发展。,科技革命,产业变革,电子科技革命,科技革命和产业变革,D
当前和今后一个时期，我国发展仍然处于重要（___）。,战略机遇期,战略平台期,战略攻坚期,战略发展期,A
我国已转向（___）发展阶段。,高水平,高效率,高速度,高质量,D
中国共产党第二十次全国代表大会，于2022年（___）在北京举行。,8月16日至22日,9月16日至22日,10月16日至22日,11月16日至22日,C
2022年10月16日上午，党的二十大开幕，习近平总书记代表第十九届中央委员会向大会作报告，其中特别强调“全党同志务必……，务必……，务必……，坚定历史自信，增强历史主动，谱写新时代中国特色社会主义更加绚丽的华章。”。以下选项中的（___）不属于“三个务必”的内容。,不忘初心、牢记使命,谦虚谨慎、艰苦奋斗,敢于斗争、善于斗争,克己奉公，遵纪守法,D
在党的二十大报告中，以下选项中的（___）不属于“办好人民满意的教育”这一主题。,加快建设世界重要人才中心和创新高地，促进人才区域合理布局和协调发展，着力形成人才国际竞争的比较优势。,推进教育数字化，建设全民终身学习的学习型社会、学习型大国。,坚持以人民为中心发展教育，加快建设高质量教育体系，发展素质教育，促进教育公平。,加快义务教育优质均衡发展和城乡一体化，优化区域教育资源配置，强化学前教育、特殊教育普惠发展，坚持高中阶段学校多样化发展，完善覆盖全学段学生资助体系。,A
